Sheldon Cottrell,13.0,74.28,0.142857,0.0
Chaturanga de Silva,15.66,83.92,1.42857,0.0
Piyush Chawla,5.42,65.51,0.12,0.0
Aftab Ahmed,24.73,83.04,0.107947,0.164706
Owais Shah,30.56,78.67,0.0729301,0.183099
George Worker,34.0,71.76,0.0686016,0.3
Kaushal Lokuarachchi,14.0,80.15,0.0534351,0.047619
Mohammed Shami,8.73,86.18,0.253968,0.0
Mohammad Rizwan,33.57,89.58,0.0851334,0.15625
Shaheen Afridi,20.5,70.68,0.0689655,0.0
Andre Botha,19.58,68.65,1.7619,0.047619
Geert-Maarten Mol,12.5,46.29,0.0740741,0.0
Damien Ravu,2.0,27.27,0.0,0.0
Dilhara Lokuhettige,9.22,77.57,1.33333,0.0
Michael Hussey,48.15,87.16,2.5027,0.227027
David Hemp,33.73,70.28,3.40909,0.227273
Jan Stander,11.0,58.66,0.0533333,0.0
Asad Shafiq,24.74,67.5,0.0570995,0.15
Oshane Thomas,0.0,0.0,0.0,0.0
Najaf Shah,0.0,0.0,0.0,0.0
Evin Lewis,32.58,82.31,3.68571,0.142857
Zaheer Khan,12.0,73.46,0.0862709,0.0
Neil McKenzie,37.51,69.4,2.34375,0.1875
Rob Nicol,30.84,75.51,0.0850515,0.181818
Nuwan Pradeep,5.4,42.85,0.047619,0.0
Shivnarine Chanderpaul,41.6,70.74,0.0650387,0.261194
Ragheb Aga,16.66,71.77,0.076555,0.0833333
Tatenda Taibu,29.25,67.58,0.0531873,0.16
Quinton de Kock,45.56,95.81,0.125338,0.330189
Nuwan Zoysa,13.19,95.81,0.378947,0.0
Iftikhar Ahmed,4.0,25.8,0.5,0.0
Imran Nazir,24.61,81.01,3.37975,0.139241
Manish Pandey,36.66,91.85,1.78261,0.130435
Andrew Strauss,35.63,80.94,0.092204,0.259843
Mahbubul Alam,40.5,114.08,1.4,0.2
Akalanka Ganegama,3.5,77.77,0.111111,0.0
Praveen Kumar,13.9,88.21,0.470588,0.0147059
Dwight Basden,6.0,30.76,0.0,0.0
Avishka Fernando,24.16,92.35,0.133758,0.166667
Sunzamul Islam,19.0,79.16,0.125,0.0
Tawanda Mupariwa,8.4,56.92,0.0492308,0.0
Ajinkya Rahane,35.26,78.63,3.62222,0.3
Tharindu Kaushal,0.0,0.0,0.0,0.0
Colin de Grandhomme,29.53,110.47,0.13217,0.0357143
Shingi Masakadza,21.25,96.04,0.141243,0.0
Thilina Kandamby,29.0,69.6,1.82051,0.128205
Dougie Lockhart,24.22,63.92,0.857143,0.0
Nuwan Kulasekara,15.43,81.46,0.728261,0.0217391
Josh Davey,22.42,65.87,1.55172,0.0689655
Maurits van Nierop,35.0,71.42,0.102041,0.0
Abdul Jabbar,29.5,71.95,5.0,0.0
Aarif Sheikh,18.8,53.4,0.0397727,0.0
Imran Haider,8.28,42.64,0.0147059,0.0
Austin Richards,2.0,100.0,0.0,0.0
Akila Dananjaya,13.47,69.02,0.0658537,0.0294118
Mashrafe Mortaza,14.01,87.51,0.995215,0.00478469
Paul Hoffmann,7.72,123.18,0.777778,0.0
Junaid Siddiqui,13.4,46.52,0.0208333,0.0
Chris Martin,1.6,29.62,0.0,0.0
Kosala Kulasekara,12.66,52.77,0.0,0.0
Jimmy Hansra,23.38,58.06,0.0482759,0.0833333
Andri Berenger,20.5,67.43,2.6,0.2
Peter McGlashan,63.0,123.52,0.137255,0.25
Michael Mason,8.0,53.33,0.0666667,0.0
Craig Wright,16.0,68.37,0.95,0.0
Karim Janat,9.0,27.27,0.0,0.0
Lahiru Madushanka,4.66,53.84,0.5,0.0
Lendl Simmons,31.58,73.05,0.0791045,0.264706
Shaun Tait,12.5,86.2,0.114286,0.0
Ravindra Jadeja,29.92,84.23,1.27152,0.0662252
Sadeera Samarawickrama,22.0,87.41,2.83333,0.166667
Gurkeerat Singh Mann,6.5,100.0,0.666667,0.0
Brad Hodge,30.26,87.51,0.0958904,0.16
Hardik Pandya,29.24,116.58,0.133971,0.0888889
Fakhar Zaman,51.31,98.14,0.130305,0.388889
Taurai Muzarabani,3.0,30.0,0.125,0.0
Vikram Singh,8.0,61.53,0.0769231,0.0
Arshad Ali,13.5,52.94,1.5,0.0
Lionel Cann,26.81,117.06,0.14881,0.0384615
Junaid Siddique,23.0,68.22,0.0713063,0.12963
Matthew Hoggard,4.25,56.66,0.0,0.0
Anwar Ali,29.18,87.46,0.0980926,0.0
David Wiese,20.4,88.69,0.104348,0.0
Hamish Gardiner,23.81,66.16,3.0,0.181818
Chris Morris,19.65,97.27,0.108911,0.0294118
Usman Salahuddin,6.5,46.42,0.0,0.0
James Hopes,25.01,93.71,1.53571,0.0357143
Safyaan Sharif,14.0,72.96,0.0586319,0.0
Asad Ali,6.5,81.25,0.0625,0.0
Paul Stirling,36.76,87.84,0.114968,0.261261
Brandon Mavuta,13.0,110.63,0.857143,0.0
Kyle Coetzer,43.37,88.25,5.84615,0.326923
Ramnaresh Sarwan,42.67,75.74,0.0702075,0.237569
Brett Dorey,2.0,25.0,0.0,0.0
Dave Langford-Smith,15.77,106.76,0.105263,0.0
Dimitri Mascarenhas,22.27,95.33,0.0972763,0.05
Morne Morkel,9.24,75.7,0.0875706,0.0
Umar Amin,18.06,69.13,0.0765306,0.0625
Jeetan Patel,13.57,58.64,0.0432099,0.0
Peter Borren,22.31,85.37,1.77586,0.0862069
Mark Wood,9.0,88.23,0.0784314,0.0
Joe Mennie,0.5,25.0,0.0,0.0
Max Sorensen,20.83,80.64,0.0967742,0.0
Mudassar Bukhari,17.2,76.9,1.23913,0.0434783
Tanvir Ahmed,18.0,150.0,0.25,0.0
Elijah Otieno,4.9,36.02,0.0294118,0.0
Kevin O'Brien,31.02,89.1,0.10194,0.143885
Dogodo Bau,18.88,53.29,1.3,0.0
Ed Joyce,38.0,72.23,0.077135,0.269231
Murali Vijay,21.18,66.99,0.0711462,0.0588235
Michael Yardy,20.37,69.06,0.0444915,0.0714286
Nathan McCullum,20.98,87.7,1.21429,0.047619
Tim Southee,12.62,99.85,0.11791,0.00719424
Jeremy Gordon,3.5,25.0,0.0,0.0
VVS Laxman,30.76,71.23,2.62791,0.186047
Amit Mishra,5.37,52.43,0.0487805,0.0
Kusal Mendis,28.67,85.75,3.22222,0.253968
Blessing Mahwire,10.63,46.98,0.0281125,0.0
Upul Chandana,17.3,72.99,0.0583221,0.0340136
Manoj Tiwary,26.09,71.21,0.0669975,0.166667
James Pattinson,10.5,52.5,0.133333,0.0
