[0],0,0,0,0,0,0,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,0,0,0
[0],0,0,0,0,0,0,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,0,4,1
[0],0,0,0,4,1,0,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,4,14,0
[0],0,4,4,14,0,1,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,4,14,0
[0],4,18,4,14,0,1,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,4,17,0
[0],8,32,4,17,0,1,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,0,16,1
[0],12,49,0,16,1,1,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,0,14,0
[0],12,65,0,14,0,2,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,0,1,0
[0],12,79,0,1,0,2,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,6,21,0
[0],12,80,6,21,0,2,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,6,19,0
[0],18,101,6,19,0,2,0,251.039,7.78906,0.34375,244.514,7.48571,0.285714,9,22,1
[0],0,0,0,0,0,0,210,231.384,8.04464,0.321429,244.187,7.83453,0.28777,0,0,0
[0],0,0,0,0,0,0,210,231.384,8.04464,0.321429,244.187,7.83453,0.28777,5,9,0
[0],0,0,5,9,0,0,210,231.384,8.04464,0.321429,244.187,7.83453,0.28777,4,19,1
[0],5,9,4,19,1,0,210,231.384,8.04464,0.321429,244.187,7.83453,0.28777,12,13,0
[0],9,28,12,13,0,1,210,231.384,8.04464,0.321429,244.187,7.83453,0.28777,10,20,0
[0],21,41,10,20,0,1,210,231.384,8.04464,0.321429,244.187,7.83453,0.28777,6,20,0
[0],31,61,6,20,0,1,210,231.384,8.04464,0.321429,244.187,7.83453,0.28777,6,15,0
[0],37,81,6,15,0,1,210,231.384,8.04464,0.321429,244.187,7.83453,0.28777,4,12,2
[0],43,96,4,12,2,1,210,231.384,8.04464,0.321429,244.187,7.83453,0.28777,10,9,2
[0],47,108,10,9,2,3,210,231.384,8.04464,0.321429,244.187,7.83453,0.28777,20,12,3
[0],0,0,0,0,0,0,0,231.384,8.04464,0.321429,279.045,7.09091,0.181818,0,0,0
[0],0,0,0,0,0,0,0,231.384,8.04464,0.321429,279.045,7.09091,0.181818,8,5,0
[0],0,0,8,5,0,0,0,231.384,8.04464,0.321429,279.045,7.09091,0.181818,14,6,0
[0],8,5,14,6,0,0,0,231.384,8.04464,0.321429,279.045,7.09091,0.181818,6,19,0
[0],22,11,6,19,0,0,0,231.384,8.04464,0.321429,279.045,7.09091,0.181818,18,10,1
[0],28,30,18,10,1,0,0,231.384,8.04464,0.321429,279.045,7.09091,0.181818,28,10,0
[0],46,40,28,10,0,1,0,231.384,8.04464,0.321429,279.045,7.09091,0.181818,36,9,1
[0],74,50,36,9,1,1,0,231.384,8.04464,0.321429,279.045,7.09091,0.181818,8,10,0
[0],110,59,8,10,0,2,0,231.384,8.04464,0.321429,279.045,7.09091,0.181818,24,7,1
[0],118,69,24,7,1,2,0,231.384,8.04464,0.321429,279.045,7.09091,0.181818,6,18,0
[0],0,0,0,0,0,0,289,230.2,8.6,0.4,244.514,7.48571,0.285714,0,0,0
[0],0,0,0,0,0,0,289,230.2,8.6,0.4,244.514,7.48571,0.285714,12,5,1
[0],0,0,12,5,1,0,289,230.2,8.6,0.4,244.514,7.48571,0.285714,8,5,0
[0],12,5,8,5,0,1,289,230.2,8.6,0.4,244.514,7.48571,0.285714,4,11,1
[0],20,10,4,11,1,1,289,230.2,8.6,0.4,244.514,7.48571,0.285714,4,15,1
[0],24,21,4,15,1,2,289,230.2,8.6,0.4,244.514,7.48571,0.285714,4,18,0
[0],28,36,4,18,0,3,289,230.2,8.6,0.4,244.514,7.48571,0.285714,12,8,0
[0],32,54,12,8,0,3,289,230.2,8.6,0.4,244.514,7.48571,0.285714,38,9,1
[0],44,62,38,9,1,3,289,230.2,8.6,0.4,244.514,7.48571,0.285714,14,18,0
[0],82,71,14,18,0,4,289,230.2,8.6,0.4,244.514,7.48571,0.285714,18,11,0
[0],0,0,0,0,0,0,0,206.375,9.125,0.625,235.136,8.06818,0.318182,0,0,0
[0],0,0,0,0,0,0,0,206.375,9.125,0.625,235.136,8.06818,0.318182,0,7,0
[0],0,0,0,7,0,0,0,206.375,9.125,0.625,235.136,8.06818,0.318182,4,12,1
[0],0,7,4,12,1,0,0,206.375,9.125,0.625,235.136,8.06818,0.318182,0,7,1
[0],4,19,0,7,1,1,0,206.375,9.125,0.625,235.136,8.06818,0.318182,4,7,1
[0],4,26,4,7,1,2,0,206.375,9.125,0.625,235.136,8.06818,0.318182,4,10,1
[0],8,33,4,10,1,3,0,206.375,9.125,0.625,235.136,8.06818,0.318182,4,14,0
[0],12,43,4,14,0,4,0,206.375,9.125,0.625,235.136,8.06818,0.318182,14,13,0
[0],16,57,14,13,0,4,0,206.375,9.125,0.625,235.136,8.06818,0.318182,4,9,1
[0],0,0,0,0,0,0,133,214.145,7.92727,0.309091,253.0,8.5,0.5,0,0,0
[0],0,0,0,0,0,0,133,214.145,7.92727,0.309091,253.0,8.5,0.5,8,7,1
[0],0,0,8,7,1,0,133,214.145,7.92727,0.309091,253.0,8.5,0.5,16,4,0
[0],8,7,16,4,0,1,133,214.145,7.92727,0.309091,253.0,8.5,0.5,14,4,1
[0],24,11,14,4,1,1,133,214.145,7.92727,0.309091,253.0,8.5,0.5,4,12,0
[0],38,15,4,12,0,2,133,214.145,7.92727,0.309091,253.0,8.5,0.5,4,9,0
[0],42,27,4,9,0,2,133,214.145,7.92727,0.309091,253.0,8.5,0.5,4,16,1
